ID	ELEMENT SYMBOL	ENERGY	INTENSITY	ISOTOPE ABUNDANCE
1	Annihilation Peak	511.000	2.000e+00	0.000e+00
10010010001	H	2223.248	1.000e+00	9.999e-01
10020010001	H	6250.243	8.696e+03	1.150e-04
20030010001	He	20520.460	1.011e+00	1.340e-06
30060010001	Li	477.595	5.222e-01	7.590e-02
30060010002	Li	6768.810	5.154e-01	7.590e-02
30060010003	Li	7245.910	8.431e-01	7.590e-02
30070010001	Li	980.530	9.892e-02	9.241e-01
30070010002	Li	1051.900	9.868e-02	9.241e-01
30070010003	Li	2032.300	9.081e-01	9.241e-01
40090010001	Be	219.400	5.131e-04	1.000e+00
40090010002	Be	304.240	2.623e-04	1.000e+00
40090010003	Be	547.550	1.243e-03	1.000e+00
40090010004	Be	631.920	2.052e-03	1.000e+00
40090010005	Be	853.630	2.372e-01	1.000e+00
40090010006	Be	2590.014	2.178e-01	1.000e+00
40090010007	Be	2811.680	1.197e-03	1.000e+00
40090010008	Be	2896.020	1.323e-03	1.000e+00
40090010009	Be	3367.448	3.250e-01	1.000e+00
40090010010	Be	3443.406	1.117e-01	1.000e+00
40090010011	Be	5956.530	1.665e-02	1.000e+00
40090010012	Be	5958.850	7.754e-04	1.000e+00
40090010013	Be	6809.610	6.613e-01	1.000e+00
50100010001	B	477.595	7.196e+03	1.990e-01
50100010002	B	2296.630	5.427e-02	1.990e-01
50100010003	B	2533.350	8.342e-02	1.990e-01
50100010004	B	4444.030	3.920e-01	1.990e-01
50100010005	B	4474.500	4.523e-03	1.990e-01
50100010006	B	4711.180	1.558e-01	1.990e-01
50100010007	B	6739.670	1.136e-01	1.990e-01
50100010008	B	7006.750	3.286e-01	1.990e-01
50100010009	B	8916.600	7.739e-02	1.990e-01
50100010010	B	11447.750	2.814e-02	1.990e-01
60120010001	C	595.015	2.720e-03	9.893e-01
60120010002	C	1261.765	3.551e-01	9.893e-01
60120010003	C	1856.717	1.775e-03	9.893e-01
60120010004	C	3089.057	4.725e-03	9.893e-01
60120010005	C	3683.920	3.493e-01	9.893e-01
60120010006	C	4945.301	7.474e-01	9.893e-01
60130010001	C	495.710	7.095e-02	1.070e-02
60130010002	C	808.820	3.206e-02	1.070e-02
60130010003	C	1273.820	4.366e-02	1.070e-02
60130010004	C	1586.910	7.504e-02	1.070e-02
60130010005	C	2082.560	2.183e-02	1.070e-02
60130010006	C	6092.460	1.446e-01	1.070e-02
60130010007	C	8174.040	7.436e-01	1.070e-02
70140010001	N	131.590	1.761e-04	9.964e-01
70140010002	N	383.000	6.917e-05	9.964e-01
70140010003	N	583.590	5.396e-03	9.964e-01
70140010004	N	608.280	3.144e-04	9.964e-01
70140010005	N	767.820	6.414e-04	9.964e-01
70140010006	N	769.920	1.006e-04	9.964e-01
70140010007	N	831.218	4.654e-04	9.964e-01
70140010008	N	908.410	1.597e-03	9.964e-01
70140010009	N	976.996	3.522e-04	9.964e-01
